aix-005-03,4000000,5500000,e
aix-005-03,5500000,5500000,sp
aix-005-03,5500000,5800000,sil
aix-008-42,0,800000,sil
aix-008-42,800000,2700000,d
aix-008-42,2700000,3100000,e
aix-008-42,3100000,3700000,l
aix-008-42,3700000,6000000,i
aix-008-42,6000000,6000000,sp
aix-008-42,6000000,6500000,sil
aix-008-51,0,800000,sil
aix-008-51,800000,1900000,y
aix-008-51,1900000,2800000,m
aix-008-51,2800000,4700000,e
aix-008-51,4700000,4700000,sp
aix-008-51,4700000,5400000,sil
aix-006-19,0,800000,sil
aix-006-19,800000,1300000,d
aix-006-19,1300000,2000000,R
aix-006-19,2000000,3200000,a
aix-006-19,3200000,4200000,p
aix-006-19,4200000,6500000,e
aix-006-19,6500000,6500000,sp
aix-006-19,6500000,7200000,sil
aix-008-39,0,300000,sil
aix-008-39,300000,1100000,p
aix-008-39,1100000,2000000,e
aix-008-39,2000000,4400000,an
aix-008-39,4400000,4400000,sp
aix-008-39,4400000,5000000,sil
aix-005-20,0,7200000,sil
aix-005-20,7200000,8000000,p
aix-005-20,8000000,8800000,i
aix-005-20,8800000,10300000,k
aix-005-20,10300000,13100000,a
aix-005-20,13100000,13100000,sp
aix-005-20,13100000,13300000,sil
aix-005-12,0,800000,sil
aix-005-12,800000,2700000,R
aix-005-12,2700000,4100000,e
aix-005-12,4100000,6800000,a
aix-005-12,6800000,6800000,sp
aix-005-12,6800000,7600000,sil
aix-007-39,0,300000,sil
aix-007-39,300000,1700000,s
aix-007-39,1700000,2100000,e
aix-007-39,2100000,3300000,p
aix-007-39,3300000,4600000,a
aix-007-39,4600000,6800000,l
aix-007-39,6800000,6800000,sp
aix-007-39,6800000,7400000,sil
aix-008-14,0,600000,sil
aix-008-14,600000,1600000,k
aix-008-14,1600000,2400000,a
aix-008-14,2400000,5100000,o
aix-008-14,5100000,5100000,sp
aix-008-14,5100000,5500000,sil
aix-008-28,0,500000,sil
aix-008-28,500000,1400000,k
aix-008-28,1400000,2000000,o
aix-008-28,2000000,2900000,m
aix-008-28,2900000,5600000,a
aix-008-28,5600000,5600000,sp
aix-008-28,5600000,5800000,sil
aix-008-34,0,900000,sil
aix-008-34,900000,2300000,s
aix-008-34,2300000,2900000,e
aix-008-34,2900000,4600000,k
aix-008-34,4600000,6900000,o
aix-008-34,6900000,6900000,sp
aix-008-34,6900000,7100000,sil
aix-006-02,0,1400000,sil
aix-006-02,1400000,2500000,an
aix-006-02,2500000,3600000,k
aix-006-02,3600000,6500000,a
aix-006-02,6500000,6500000,sp
aix-006-02,6500000,6700000,sil
aix-005-58,0,2600000,sil
aix-005-58,2600000,4000000,l
aix-005-58,4000000,4800000,a
aix-005-58,4800000,5800000,m
aix-005-58,5800000,9300000,a
aix-005-58,9300000,9300000,sp
aix-005-58,9300000,10400000,sil
aix-008-29,0,300000,sil
aix-008-29,300000,2400000,s
aix-008-29,2400000,2900000,i
aix-008-29,2900000,4500000,p
aix-008-29,4500000,7000000,o
aix-008-29,7000000,7000000,sp
aix-008-29,7000000,7400000,sil
aix-007-46,0,500000,sil
aix-007-46,500000,1300000,k
aix-007-46,1300000,2900000,O
aix-007-46,2900000,3200000,R
aix-007-46,3200000,3500000,d
